tweet_id,sentiment,tweet_text
1.2048910104274248e+18,negative,@woldeyes_t Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ
1.2130728678663496e+18,neutral,አሜሪካ ሱሌይማኒን በመግደል ቀይ መስመሩን ሳታልፍ አይቀርም። ዜጎቿ አገሪቱን ለቀው እንዲወጡ አዝዛለች። ጀለሶቿ ደግሞ restrain እና de-escalate እያሉ መለማመጥ ጀምረዋል።
1.213026752131457e+18,negative,@haset_haset7 ይሄው ነው አይደል የእውቀትሽ ጥግ....በሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢም....ደሞ ራስሽን አታስገምቺ
1.2122999548338217e+18,neutral,"@BirrkanF @abrshel @melak_abera የሚባክን ጊዜ መኖር የለበትም።
ዳይ ወደ ሥራ! 😜"
1.213116081184891e+18,neutral,የጎንደር ዩኒቨርሲቲ በ65 ተማሪዎች፣መምህራንና የአስተዳደር ሰራተኞቹ ላይ እርምጃ ወሰደ https://t.co/XgIaC5zu47
1.212369380492886e+18,neutral,"አማራ ክልል አንድ ነገር ሲፈጠር የማያወግዝ ሰው የለም ከፖለቲከኛው እስከሊስትሮ ድረስ

ኦሮሞ ክልል ግን አሰቃቂ ሽብር ሲፈፅም ባላየ ነው የሚያልፎት እንኳን ሊያወግዙ ይቅርና።… https://t.co/1AJ88TAojx"
1.2130799615668797e+18,positive,ዛሬ ጁመዓ በወሎ ኮንቦልቻ የተደረካ ከባድ መልክት ያለው የቃውሞ ሰልፍ ብልፅግና ፓርቲ ብልፅግናችሁን አሳዩን https://t.co/JroefBrpBR
1.2123656351765463e+18,negative,አማራ ክልል ፈልቶበታል ልኩን ማስገባት ነው!!! ሙስሊሞችን ጠልቶ 85% ሙስሊሞች በሚኖርባት ኦሮምያ ጋር ግንኙነትን አትሰበው !!!
1.2130914495642132e+18,neutral,RT @BalchaEyob: ባህልን መሰረት ያደረጉ መገለጫዎች አሉት። መገለጫዎቹም መደበኛና ኢ-መደበኛ በሆኑ ስርዓታት ስር ሰደውና ጎልተው ሊይታዩ ይችላሉ። የጎንዮሽ ኢ-እኩልነት አብላጫውን የፖለቲካ ንቅናቄ ሂደትን በሚቆጣ…
1.2125742784340746e+18,positive,ጥበበኛው የፍቅር አስተማሪ ቴዲ አፍሮ https://t.co/7En0HjdcgO
1.2228913187722609e+18,positive,"ጽድቅና ኩነኔ 
 ቢኖርም ባይኖርም
ከክፋት ደግነት 
   ሳይሻል አይቀርም !!!

 👉☕ፉት እያላችሁማ😍😘 https://t.co/ZRKz21Piy9"
1.215929256389292e+18,neutral,መንግስት ሆይ ሀገሪቷን የማፍያ መፈንጫ እንድትሆን አትተዋት - ሰላም አልፈልግም ብሎ ጉልበት ለመረጠ በእቅፍ አበባ ሳይሆን በሚደቁስ ጠንካራ ክንድ መቀበሉ የግድ ነው። https://t.co/UnahcSCVUT
1.2137236477032325e+18,neutral,"-1-

በ""መጽሐፈ ጨዋታ"" መሰናዶ ላይ ያየሁት ተመቸኝ። ቃለ መጠይቅ የተካሄበት ቦታ (ላይብረሪ ይመስለኛል) ተሰንደው በተደረደሩ ጋዜጦች የተሞላ ነው። ለምሳሌ  አዲስ ዘመን፣ ሪፖርተ… https://t.co/vZR9a6JE1d"
1.2127433584200786e+18,negative,@fairytale0716 🤣 ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ 😂😂 ምን ሆኖ ነው ግን? ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ 😂
1.2038709384265933e+18,negative,@BerisoOshone @Jawar_Mohammed ዠልጥ🤣 🤣🤣 ገገማ
1.2010870731906294e+18,neutral,"ታቦተ ሕጉ ለእግዚአብሔር በካህናታ ሕጽርት ወበመንፈስቅዱስ ክልልት
ንጉሥኪ ጽዮን ኢይትመዋዕ ለፀር
ወኢየኃድጋ ለሀገር።
በካህናት የተከበብሽ በመንፈስ ቅዱስ የተከለልሽ የእግዚአብሔር ታ… https://t.co/tYoncvXPgd"
1.2130670974014792e+18,neutral,@AsemahagnAseres ... እናማ ልሙጡ ባንዴራን ለቤተክርስትያኒቷ አስረክባቹ፣ secular በመሆን በተሻለ መንገደ ሰለማዊና የተረጋጋ ክልል በመፍጠር ሰርታቹ አሳዩን 'ና ተዛ… https://t.co/0En3Xa3b9q
1.2131648399898624e+18,neutral,@Senaitbitew @KasayeRH @Kal_Kass @melak_abera @_wurye @tweetofmicky @ZemenuYA ሳያችሁ ግን ሶስተኛው የአለም ጦርነት ጉዳይን ከመጤፍም አልቆጠራችሁትም።
1.2128280902395044e+18,neutral,@Ethiopialiveupd @ebczena ብድር በምድር መሆኑ ከሆነ ተገቢ አይደለም ከዚህ በፊት ስንቃወም የነበረው ይህንንም አልነበር ታድያ ጉልቻ ቢቀየር ሆኗል ነገሩ ማለት ነዋ ..… https://t.co/VQOg5x9p37
1.2128772877099704e+18,neutral,ለውጡን ያለመው የኦሮሚያ ባለሃብቶች ውይይት https://t.co/SAKDrNMYhu
1.201208064617128e+18,positive,"የሀገሩን  ችግር የሚያውቅ እና መፍትሔ የሚያመጣ በትክክል የሀገሩ ሰው ነው። ይቺ ወጣት ለእንጀራ መጋገር የሚያስፈልገውን አብሲት በተለየና በቀለለ ዘዴ በማዘጋጀት ለእናቶቻችን ውለታ ውላለች ።  
ከሰይፉ በኢቢኤስ"
1.2010640763712143e+18,negative,ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ
1.2159994816211763e+18,neutral,@heyab_ በጣም ስውር ህዝብም ጭምር:: እኔ የሰዉ ሂሉን እሺ ብሎ መቻል በጣም ነው ሚገርመኝ::
1.2142414126797005e+18,positive,የሃይማኖት መሪዎች ለክርስትና እምነት ተከታዮች የእንኳን አደረሳችሁ መልዕክት አስተላለፉ https://t.co/jrQkU4FARZ
1.2131715859740713e+18,neutral,"አዲሱ የአቶ ሬድዋን ሁሴን ሹመት,መንታ መንገድ ላይ የቆመው የስልጤ ህዝብ እና ምርጫ  2012 እመለስባታለው ጠብቁኝ"
1.214157341031043e+18,negative,@MadyYonas ሰውን አንገት በሚያስደፋ መልኩ ዝም ብሎ ሙድ መያዝ....ስልህ ያ ሰው ምንም ሳያጠፋ.....ተቀባብሎ መሣለቅ
1.201411110806659e+18,positive,"መጀመሪያ ቃል ብቻ ነበረ፤ 
ቃልም በቀለም ተቀናበረ፤
ቃልና ቀለም በተግባር ኖረ፤
መዕራፉን ጨርሶ ቋጠረ።"
1.2138419068133417e+18,negative,የቤት ውስጥ ጥቃት – ያለሰሚ – ያለተመልካች https://t.co/T9kAVYPYZh
1.2138499237388452e+18,neutral,ሪፖርት | ፈረሰኞቹ ምዓም አናብስትን በመርታት ወደ አሸናፊነት ተመልሰዋል https://t.co/s2lSnREJBb
1.2131216802997125e+18,neutral,የህወሓት ማዕከላዊ ኮሚቴ አባል አቶ ጌታቸው ረዳ ትላንት በድምፂ ወያነ ቴሌቪዥን ስለ ህወሓት ቀጣይ ዕጣ ፈንታ ተናግረዋል እየተባለ በማህበራዊ ሚዲያ የሚሰራጨው ዜና ሀሰተኛ ነው።
1.2009586467185172e+18,positive,"RT @MezmurBest: ""ኤርትራውያን ስነ ጥበበኛታት ንናይ ጎደና ስነጥበብ ክንደፍኣሉ ይግባእ። ንዘሎና ሃብታም ታሪኽ ብቕርጻ፡ ብቕብኣን ስነ ጽሑፍን ክንትርኾ ኣሎና። ነፍሲ ወከፍ ጎደና ታሪኽ ክንስንደሉ ዝኽእል እዩ።""…"
1.213888380079104e+18,neutral,"@abirhanu አይ ካሳዬ ስምንተኛ ክፍልን ዘልቋል ብለን ነው የሾምነው 😂😂 መልሱ እኮ እዛው በቀይ ያሰመርከው ላይ አለ ... ""ከጊዜው ነባራዊ ሁኔታ ጋ ሊያራምዳቸው ....' አለቀ።"
1.2132921542919905e+18,positive,ሀገር አቀፍ ብሔራዊ የሴቶች የሰላም ምክር ቤት ተቋቋመ https://t.co/cRJ8AO71E0
1.2141104855467008e+18,positive,የ24 ሰዓት የቴሌቭዥን መርሐግብሩ ተጀምሯል::ከዮድ አቢሲንያ የማብሰርያ ዝግጅት አለ:: https://t.co/yIwb4I61Ym
1.2011912962930565e+18,negative,"@awushwish @ZemenuYA የነዚህን አይነት ወሬ አራጋቢ ነው! 
Do you get me!!?"
1.212453172230312e+18,negative,@HussenMuhye ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ… https://t.co/DgPyFWRkN9
1.2141673264777667e+18,neutral,የአባገዳ ልጅ ጠ/ሚ/ር ዶር አብይ አህመድ በጉጂ አባገዳ ተመርቀዉ ካላቻ አስረዋል። ዶር  እንኳን ደስ አለህ። https://t.co/kv3oGMrBBT
1.212845460987269e+18,neutral,@sam_tassew ... የገዛ ጓደኞቻቸውን ከመግደል ወደኋላ የማይሉበት ስሜት ላይ ነው ያሉት። ይሄ ደሞ በየትኛውም የተማሪዎች ዘመን ታይቶ የማይታወቅ ግልብነት/ግልፍተኝነት ነው።… https://t.co/YJeDxDx509
1.2228996596113285e+18,neutral,@MintesinotF የሰኔ 16ቱን ፍንዳታ በተመለከተ ወደአሜሪካ(FBI) የተላከውን የተጠርጣሪዎች አሻራ ውጤት ጤና ጥበቃ ሚንስቴር በነካ እጁ ቢገልፅልን።...ግራ ቢገባኝ እኮ ነው 🤔
1.2123842759260488e+18,neutral,በኤክሳይዝ ታክስ ሰበብ የታየው የዋጋ ንረት መነሻው የተዛባ የገበያ ሥርዓት ነው ሲል መንግሥት አስተባበለ https://t.co/vhWEsbefXL
1.2122512699408097e+18,negative,@BilisumaKegna @seyoum_teshome አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ
1.2140576926769684e+18,neutral,@LoveAbaba @Anbessaw1 @Jawar_Mohammed @Tseday ልክ ጋን ዉስጥ እንዳለች እንቁራሪት ነዉ በለኝ ትንሽዬ ብርሀን ስታይ ኖራ ከጋኑ ስትወጣ በቃ አልተቻለችም እን… https://t.co/MFpeJ2PNAi
1.214227822601896e+18,negative,@jemilsani14 @eskinder_nega ። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ
1.212302537153495e+18,negative,#Ethiopia ወያኔን ለመጣል ምን ድርሻ ነበራችሁ ? ከወደቀ በኋላ ጉራ ከመንዛት በቀር
1.213815560343081e+18,neutral,"RT @chapygi: ኢትዮጵያ ውስጥ ያሉት መኪኖች ብዛት 1 ሚልየን አይደርስም። በሚገርም ሁኔታ ግን በአማካይ በአመት 5,000 ከዎች በትራፊክ አደጋ ህይወታቸውን ያልፋል።

©Fact"
1.2122664198172713e+18,negative,"@AbiyAhmedAli https://t.co/tREjt7HpeGበነገራችን ላይ ! 

""የእነዛ 86 ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም !""

በአንድ ቀን ጀምበር… https://t.co/DJlY4FMTvy"
1.2132202059099914e+18,neutral,ሰለቸኝ ጌታን ሰው ወደ አውሬነት እየተለወጠ ነው ደከመኝ ደከመኝ ጌታ ሆይ አረ ምን አይነት ዘመን ነው ሰው ፔጅ ላይ ሄዶ ያንን ሰው ሙሉጭ አርጎ መስደብ ምን ይሉታል መሳደብ ይቀላል ወይስ ያንን ፔጅ አለማየት?
1.2012174322554511e+18,neutral,@ZemenuYA @TakeleUma ልክ ነህ! ከምትላቸው ቃላት ያንተ ቅንነት ለመገመት ችያለሁ፡፡  ቅንማ ባትሆን ኪራይ ሰብሳቢነኝ ስትል፣ በኢትቪ ነበር ቀርፀው፣ ዶክሞንተሪ የሚሰርቡህ፡፡
1.2015241338987192e+18,negative,@Daveamicho @drdantulu እኔ ሞቻለሁ 😂😂😂😂😂😂😂😂😂😂😂😂 ጌታ ሆይ ኧረ ና!
1.2122740502501335e+18,neutral,ተፎካካሪ ፓርቲዎች ተሰባስበው እና አንድ ቡድን አዋቅረው ፋና ፥ ዋልታ እና ኢቲቪ አጠቃላይ የህዝብ ሀብት የሆኑ ሚዲያዎች የባለቤትነት እና አጠቃቀም ላይ ጥርት እና ፅድት ያለ መስመር… https://t.co/1HeCAkIY1Y
1.213107495033553e+18,negative,@Abione_Bekele ኦሮሞ ምንም ቢማር ከብት ነዉ አያስተዉልም ጥንብ ዘረኛ ናቸዉ
1.2124368884701307e+18,neutral,እየሱስ ክርስቶስ ከድንግል ማርያም የተወለደ  ወይም በስጋ ከዳዊት ዘር  የተወለደው ስለሰው ልጆች ኀጢአት እዳለመክፈል ነው የምትሉ በዚህ ፔድ መወያየት እንችላለን
1.2162918983123395e+18,neutral,የጌታዬ እናት፦ ንፂህተ ንፁሀን፤ ቅድስተ ቅዱሳን ድንግል ማርያም ምንም አኔ ሀጢያተኛ ልጅሽ መሆን የማይገባኝን አስቢኝ ።ከሰራሁት ይልቅ የልጅሽ ቃልኪዳን ይበልጣልና አሳስቢልኝ ። ሰዐ… https://t.co/uc2hjuaspQ
1.2122299721543025e+18,positive,"አምላከ ቅዱስ ዑራኤል መልአክ ቀኑን የተበረከና የተቀደሰ ያድርግልን፡፡ በሰላም ያሳደረን በሰላም ያውለን፡፡ አገራችንን ኢትዮጵያን ዳሯን እሳት መሃሏን ገነት አድርጎ ይጠብቅልን፡፡
 አሜን!!!"
1.2013926028153078e+18,positive,"@birukzerihunal1 ጥሩ ጊዜ፣በተለይ ቆመን "".....ተንቦገቦገች"" ያልናት!! https://t.co/vNaZBU7AlP"
1.2141635419571978e+18,neutral,"@AbiyAhmedAli ምን ማለት ነው?
ኦሮምኛ እስክንለምድ ድረስ ኦሮሚኛ የምትችሉ ተርጉሙልን እስቲ

ፎቶው አንደኛ ነው! ፓ!
ሰላም ፍቅር ደስታ ፈገግታ በሁሉም ላይ ሰፍኗል። ከነሱ… https://t.co/WukrU1mtAh"
1.2124105739352596e+18,positive,መልካም እሴቶችን በማሳደግ ችግሮችን በሰላም ለመፍታት ሁሉም ዜጋ አብሮ መቆም አለበት፡- የኃይማኖት አባቶች https://t.co/pfri4yEYho
1.2138499104680632e+18,neutral,"RT @YaredALegesse: ይታመሳል አሉ ከፋ እና ቦረና፤
ሰላም አይደሉም ወይ እነራስ ጎበና?!

የሚሰጡት ቢያጡ ከድፍን አበሻ፤
ለኡራኤል ሰጡት የጎበናን ጋሻ።

ተብሎ የተዘፈነላቸው ስመጥሩ ጀግና ራስ ጎበና ይህን ይ…"
1.213756916297556e+18,positive,@AbbaSheger ኢትዮጵያ በደከመች ጊዜ በግፍ የተወሰደባትን የባህር በር የጊዜ ጉዳይ ነው እንጂ ማስመለሷ አይቀርም ።ከቻይና እና ቦሊቪያ ብዙ ልንማር ይገባል ።
1.216280877342384e+18,neutral,@dawitesfaye በተለይ ምዕራብ ወለጋ ግዛቱ ሆነ። ሁለት ዓመት (ድፍን ሁለት ዓመታት) ሙሉ ኦነግ ነጻ መንግሥት ኾኖ ልጆችን ለወታደርነት ሲመለምል፣ ትምህርት ቤቶችን ጭምር የወታ… https://t.co/wn0Zqg4sHF
1.213136728204165e+18,negative,@MadyYonas ቲሽ ጨለምተኛ ዱቄት 97 ላይ ቆመሃል እንዴ ጊዜው ነጉዷል 2012 ነው አሉባልታህን ቀቅለህ ብላው ልደቱ እየመጣ ነው
1.205276673576493e+18,neutral,@AbiyAhmedAli እረ እረፍት አርግ ይሄ ደግሞ የአንተ ስራ አይደለም
1.213161897920516e+18,positive,@iDreamEthiopia @GetachewSS @betelhem_dessie የኛ ቁልጭ መኩሪያ ነሽ እኮ!!
1.2101964881371832e+18,negative,@MebrahtuSenait @Jawar_Mohammed ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ
1.2147566056712315e+18,neutral,"ቅውቀት ዛሬ በሽ ነበር.....ብሬ ከባድ ሚዛን በተግባር አየን አይጠገቤው ኢንተርቪው እውቀት ስገበይ ዋልኩ ብል ማጋነን አይሆንብኝም። 
ቤሬን የሚመጥን ጋዜጠኛ ግን አገርቤት ያለ አይመስለኝም!"
1.201430126610854e+18,neutral,የህዳሴ ግድብ የሶስትዮሽ ውይይት በካይሮ እየተካሄደ ነው) - https://t.co/dUTf0gRDvL - https://t.co/imPt2ecv90 https://t.co/qsVC45pvj1
1.2123003980207022e+18,neutral,"ባየሽው ፡ የኔን ፡ መቼ ፡ ቀሎኛል፣
በታመምሽው ፡ ልክ ፡ እኔም ፡ አሞኛል፡፡ https://t.co/uKcz03JNR3"
1.2124552304425247e+18,neutral,በግሌ ዑስታዝ አቡበክር አህመድ የት ሆኖ ለ ም/ጠ ሚኒስትሩ ስልክ እንደደወለላቸው ጭምር ትዝ ይለኛል።
1.213995983253758e+18,neutral,@LiyanaTefferi እማማ ዘርፌማ ጂም ከርመው ነው የመጡት። የስኳቲንግ ምናምኑ ውጤት 👍😁
1.2138435159622e+18,neutral,@Ethiopia24News ይሄ ዜና ነው? ስብሰባው ከመደረጉ  በፊት ማለት ትችሉ ነበር!
1.212412992807211e+18,neutral,በአማራ ክልል አሁን ሊሰሩ ነው የሚባሉት መንገዶች ከ2008 ጀምሮ ሲንጠባጠቡ እና ሲራዘሙ የቆዩ እንጂ ፍትሀዊነትን ለማስፈን እስካሁን በአማራ ክልል ምንም አይነት የመንገድ ፕሮጀክት… https://t.co/Qdnf8dySDU
1.2123935980392653e+18,neutral,@kefira_dechatu @fairytale0716 እኔም እሱን ብዬ ነው
1.2131222334990295e+18,neutral,"የጎንደር ዩኒቨርሲቲ እንደሚለው ቅጣት የተጣለባቸው ግለሰቦች ኹከት እንዲስፋፋ ""ተማሪዎች ክፍል እንዳይገቡ መከልከል፤ ትምህርት እንዳይጀመር ተማሪዎችን፣ መምህራንን በማስፈራራት፣ ስለት… https://t.co/fiOfu1nQce"
1.2131763373530563e+18,negative,"እወድሽ ነበረ ዛሬስ ጠላሁሽ
 እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧
ወይ ጉድ"
1.2129800020877517e+18,negative,@NatnaelMekonne7 @TakeleUma ታብሌት ኮምፒውተሮቹ በሥጦታ የተገኙ ናቸው ወይሥ በህዝቡ ገንዘብ የተገዙ?የከተማ አሥተዳደሩ በጀት ይዞለት ነበር?ወይሥ ወዘፈቀደ ከንቲባ?… https://t.co/ga9GRtH5NK
1.2012351521244365e+18,positive,@Abione_Bekele መልካም አርጋ ነው የተጫወተችው
1.2122708799268823e+18,negative,"RT @abrahamabr2: ""ኑሮ ከመወደዱ የተነሳ ዱለት በሲኒ ማስቀመጫ ከመቅረብ አልፎ በቆርኪ የሚቀርብበት ጊዜ ሩቅ አይደለም!"" 🙄"
1.2123547375149588e+18,positive,😇😇😇 ሁል ጊዜ በጌታ ደስ ይበላችሁ.. https://t.co/8BuuoSuXJM
1.2127881707834286e+18,neutral,@ETHZema በአጠቃላይ ፖሊሲ አውጪዎችን ጨምሮ በኢትዮጲያ ያሉ ሙያን የሚፈልጉ የአገልግሎት ቦታዎች ላይ የሚገኙት ሰዎች 100% በፖለቲካዊ አስፈላጊነታቸው ብቻና ብቻ ነው። ኢትዮጲያ… https://t.co/yDW0znJ7yX
1.216280749512581e+18,neutral,@dawitesfaye የወለጋ ጉዳይ “አለባብሰው ቢያራሱ...” ዓይነት ነው። “በመንግሥት” እና በኦነግ መካከል የተረገው ድርድር ግልጽ አልነበረም። ሁለቱ አካላት መስማማት አልቻሉም።… https://t.co/eJwI0LEunw
1.2122987131939922e+18,neutral,"እንተዋወቃለን ወይ የሐበሻ ወንዶች ሐበሻ ሴቶችን ምን ያህል ያዉቃሉ

👉 https://t.co/1drydH7mgo"
1.213092410286334e+18,positive,@isuchisu ለዚህ ንግግርህ ሺህ ጊዜ አሜን ብል አይደክመኝም። ለሁላችንም የምትመች ሁላችንንም እኩል የምታይ ሀገር በጋራ እንገነባለን።
1.2138193922759516e+18,neutral,#Ethiopia : አሁን ላይ ከዳር ቆመን የምናይበት ጊዜ አይደለም ፡፡ከዳር ቆሞ ማየት መብትን አሳልፎ መስጠት ነው ፡፡ የኢዜማ መሪ  ብርሃኑ ነጋ (ፕሮፌሰር) ዛሬ እሁድ በነጋ ቦን… https://t.co/T6yTAWzwKc
1.2124421212500378e+18,neutral,@yaredadu ከበቂ መረጃ በላይ አለ ነገር ግን ለእንዳንተ አይነቱ ሰው አብይ እራሱ ወጥቶእኔ ነኝ የገደልኩት ቢል ከማጨብጨብ ውጪ ምንም አታደርግም ወይም ምክንያት እየፈጠርክ የሱን… https://t.co/EgoKv5aTJc
1.2041015813414298e+18,positive,@colomentaI_ @NonnySavage እርግጠኛ መሆን እፈልጋለሁ እና እንደተለመደው ውሸት እየተናገሩ አይደለም
1.2014579372915876e+18,neutral,"የአዋሽ ባንክ የባለአክሲዮኖች 24ኛ መደበኛና 16ኛ ድንገተኛ ጠቅላላ ጉባዔ ላይ ወሳኝ የሚባሉ ውሳኔዎቸ ተላልፏል::
በዚህ መሰረት:
--የባንኩ ካፒታል ከ6 ቢሊዮን ብር ወደ 12 ቢሊ… https://t.co/Ub1rhE1dHA"
1.201495098099323e+18,neutral,ብልፅግና ወደ ብልግና? https://t.co/kLnd2P7NQA
1.2130314695153418e+18,negative,የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ https://t.co/nCN0K5zNF5
1.2148630277340078e+18,negative,በምዕራብ ኦሮሚያ በሚገኙ በሁለቱ የወለጋ ዞኖች (ምስራቅ ወለጋና ሆሮ ጉዱሩ ወለጋ ዞኖች) የኢንተርኔት እና የስልክ አገልግሎት መቋረጡን የአካባቢው ነዋሪዎች ተናገሩ።… https://t.co/06eFTg1bjd
1.2229057087038177e+18,positive,"ጥር 21፣2012

በኮሮና ቫይረስ ተጠርጥሮ ለተጨማሪ የላብራቶሪ ምርመራ ወደ ደቡብ አፍሪካ ተልኮ የነበረው የ4 ዜጎች ናሙና ከቫይረሱ ነጻ መሆኑን የጤና ሚኒስቴር ሚንስትር ዲኤታ… https://t.co/w5DARSnY5D"
1.214830926452142e+18,neutral,"ሽሮ ፍትፍት 😍😘
     ለሚያስፈልገው ሁሉ😊😊 https://t.co/mTago7jO5c"
1.2141280866960384e+18,neutral,"#አቡነ_መርቆሪዎስ ከ28 አመት በኋላ ለመጀመሪያ ጊዜ ተናገሩ ። 

ለሃያ ስምንት አመታት  አንዳችም ቃል ከአፋቸው ሳይወጣ የቆዩት አቡነ መርቆሪዎስ የገናን በአል ምክንያት በማድረግ… https://t.co/AaDYWKWi2w"
1.2125982801625457e+18,neutral,"@AtnafB እንዲህም ማለት ይቻላል:
   
        ጔደኛየ አብርሃም ቢያይህ "" አንተን ተጨቁነህ ያልነበርከውን ጨቌኘህ ለካስ ጭቁን ነበርኩ"" ብለህ እንድታስብ ያደረገህ መሆኑን ያብራራልህ ነበር!!"
1.2174047002633585e+18,positive,"የ2012 ምርጫ የጊዜ ሰሌዳን አስመልክቶ በቦርዱ ሰብሳቢ ወ/ሪት ብርትኳን ሚዴቅሳ የቀረበ ገለጻ፡-
የምርጫ ቀኑን የተወሰነው ሕገመንግስቱን መሰረት ባደረገ መልኩ ነው፡፡ ሕገመንግስታች… https://t.co/4swb5GUCug"
1.2009318211119104e+18,neutral,"እኛ ሁሉንም ነገር ሰበብ እናደርጋለን ፤ ጎረቤቶች ውስጥ ፣ ምንም; ውድ ሆነን ለመሸጥ እና ርካሽ ለመግዛት እንፈልጋለን ፡፡
ሳን ፍራንሲስኮ ዴ ሽያጭ"
1.2148386953601884e+18,neutral,@woldeyes_t ኣይይይ: መሬት ያለው ሰው ኣለ ይላሉ ኣማራ:: ኣዲስ-ኣበባ ያለ መንግሥት ከኣሥመራ ትእዛዝ እንደሚቀበል እስቲ ንገሩት ለዚህ ሰውየ:: ለክፋት ከሆነ እማ: ሻዕብያ… https://t.co/kdryzh3R4L
1.2148092861713859e+18,negative,"አንዳንድ  "" ሰዎች""  ኢንሻላህ ኢራን አሜሪካን  እንደምታሸንፍ  አስረግጠው  ሲበጠረቁ እያዬሁ ነው ። 
-
-
ሐይማኖትና ጎሰኝነትኮ ሃቅን ለመድፈን ተወዳዳሪ  የላቸውም።"
1.216743601339863e+18,negative,@ChobinaAtlas @eskinder_nega ደግ አደረገችህ ምን ብለህ አፍህን ከፍተህ ነው
1.2129225749943132e+18,positive,@tiletsige27 አትሌት ኃይሌ በጣም ጠቃሚ ነገሮችን በሃገራችን እየሰራ ነው እጅግ ሊደነቅ ይገባል! (እስቲ እኔና ኃይሌ መቶ ሜትር እንሩጥና ካሸነፍኩ አንድ መኪና ለኔ ጀባ  ይበሉኝ! )
1.2123801659988582e+18,neutral,የብልፅግና ፓርቲ እና የአዲስ አበባ የንግድ ማህበረሰብ ውይይት https://t.co/kFoC9x8w8B
